"time","timeDate","close","high","low","open","volumefrom","volumeto","volume"
1279324800000,"2010-07-16",0.04951,0.04951,0.04951,0.04951,20,0.9902,NaN
1279411200000,"2010-07-17",0.08584,0.08585,0.05941,0.04951,75.01,5.092,NaN
1279497600000,"2010-07-18",0.0808,0.09307,0.07723,0.08584,574,49.66,NaN
1279584000000,"2010-07-19",0.07474,0.08181,0.07426,0.0808,262,20.59,NaN
1279670400000,"2010-07-20",0.07921,0.07921,0.06634,0.07474,575,42.26,NaN
1279756800000,"2010-07-21",0.0505,0.08181,0.0505,0.07921,2160,129.78,NaN
1279843200000,"2010-07-22",0.06262,0.06767,0.0505,0.0505,2402.5,141.07,NaN
1279929600000,"2010-07-23",0.05454,0.06161,0.05049,0.06262,496.32,26.73,NaN
1280016000000,"2010-07-24",0.0505,0.05941,0.0505,0.05454,1551.48,85.06,NaN
1280102400000,"2010-07-25",0.056,0.056,0.05,0.0505,877,46.91,NaN
1280188800000,"2010-07-26",0.06,0.0605,0.053,0.056,3373.69,196.92,NaN
1280275200000,"2010-07-27",0.0589,0.062,0.054,0.06,4390.29,255.76,NaN
1280361600000,"2010-07-28",0.0699,0.0699,0.0571,0.0589,8058.49,528.32,NaN
1280448000000,"2010-07-29",0.0627,0.0698,0.0582,0.0699,3020.85,198.53,NaN
1280534400000,"2010-07-30",0.06785,0.06889,0.056,0.0627,4022.25,243.9,NaN
1280620800000,"2010-07-31",0.0611,0.065,0.06,0.06785,2601,162.65,NaN
1280707200000,"2010-08-01",0.06,0.0633,0.06,0.0611,3599,221.2,NaN
1280793600000,"2010-08-02",0.06,0.065,0.059,0.06,9821.46,606.05,NaN
1280880000000,"2010-08-03",0.057,0.06231,0.057,0.06,3494,210.77,NaN
1280966400000,"2010-08-04",0.061,0.061,0.058,0.057,5034.07,303.61,NaN
1281052800000,"2010-08-05",0.0623,0.0624,0.0607,0.061,1395,85.91,NaN
1281139200000,"2010-08-06",0.059,0.0622,0.059,0.0623,2619,157.34,NaN
1281225600000,"2010-08-07",0.0609,0.061,0.059,0.059,2201,132.6,NaN
1281312000000,"2010-08-08",0.071,0.0735,0.0593,0.0609,13631.09,886.93,NaN
1281398400000,"2010-08-09",0.07,0.0709,0.06651,0.071,1310.39,88.87,NaN
1281484800000,"2010-08-10",0.067,0.07541,0.06,0.07,14061.18,1015.64,NaN
1281571200000,"2010-08-11",0.07,0.07,0.06141,0.067,2062.31,134.49,NaN
1281657600000,"2010-08-12",0.0645,0.068,0.0645,0.07,3591.77,233.8,NaN
1281744000000,"2010-08-13",0.067,0.0695,0.0645,0.0645,4404.2,295.31,NaN
1281830400000,"2010-08-14",0.06529,0.067,0.065,0.067,4462.87,294.95,NaN
1281916800000,"2010-08-15",0.0655,0.0679,0.062,0.06529,10731.47,696.8,NaN
1282003200000,"2010-08-16",0.07,0.0769,0.06243,0.0655,13185.74,915,NaN
1282089600000,"2010-08-17",0.068,0.0733,0.067,0.07,2953.98,203.83,NaN
1282176000000,"2010-08-18",0.0667,0.0679,0.0667,0.068,741.12,50.04,NaN
1282262400000,"2010-08-19",0.0655,0.0667,0.065,0.0667,4199.75,276.41,NaN
1282348800000,"2010-08-20",0.0664,0.0669,0.0644,0.0655,10443.86,688.51,NaN
1282435200000,"2010-08-21",0.066,0.0664,0.0612,0.0664,18648.97,1183.64,NaN
1282521600000,"2010-08-22",0.06491,0.06689,0.063,0.066,4297.49,281.88,NaN
1282608000000,"2010-08-23",0.065,0.0665,0.06491,0.06491,6711.76,444.66,NaN
1282694400000,"2010-08-24",0.0648,0.0665,0.0641,0.065,4228.88,278.86,NaN
1282780800000,"2010-08-25",0.064,0.0658,0.064,0.0648,3870.01,251.56,NaN
1282867200000,"2010-08-26",0.065,0.065,0.063,0.064,9009.97,583.71,NaN
1282953600000,"2010-08-27",0.0641,0.065,0.0641,0.065,6174.01,399.45,NaN
1283040000000,"2010-08-28",0.064,0.0648,0.064,0.0641,3173.4,204.88,NaN
1283126400000,"2010-08-29",0.06497,0.069,0.03211,0.064,34193.14,2135,NaN
1283212800000,"2010-08-30",0.06,0.0649,0.06,0.06497,14886.91,933.23,NaN
1283299200000,"2010-08-31",0.0629,0.0629,0.05961,0.06,7164.72,436.73,NaN
1283385600000,"2010-09-01",0.0634,0.0634,0.0601,0.0629,8150.73,498.98,NaN
1283472000000,"2010-09-02",0.06085,0.063,0.06085,0.0634,892,54.61,NaN
1283558400000,"2010-09-03",0.06238,0.06238,0.0612,0.06085,3301,202.27,NaN
1283644800000,"2010-09-04",0.0616,0.064,0.0605,0.06238,8459.24,527.97,NaN
1283731200000,"2010-09-05",0.0616,0.0627,0.0616,0.0616,910,56.13,NaN
1283817600000,"2010-09-06",0.061,0.06201,0.0603,0.0616,3457.19,212.35,NaN
1283904000000,"2010-09-07",0.062,0.062,0.06099,0.061,2345.41,143.36,NaN
1283990400000,"2010-09-08",0.06111,0.0624,0.06109,0.062,1733.5,107.68,NaN
1284076800000,"2010-09-09",0.0618,0.0618,0.06014,0.06111,4939.79,301.8,NaN
1284163200000,"2010-09-10",0.06366,0.065,0.0619,0.0618,7749.14,491.19,NaN
1284249600000,"2010-09-11",0.0615,0.0621,0.0615,0.06366,793.88,48.99,NaN
1284336000000,"2010-09-12",0.06219,0.064,0.0607,0.0615,10076.34,632.2,NaN
1284422400000,"2010-09-13",0.06199,0.175,0.061,0.06219,14014.81,876.76,NaN
1284508800000,"2010-09-14",0.0604,0.0625,0.0604,0.06199,3651.85,223.27,NaN
1284595200000,"2010-09-15",0.0619,0.0619,0.0618,0.0604,730,45.17,NaN
1284681600000,"2010-09-16",0.059,0.0609,0.059,0.0619,7262,438.94,NaN
1284768000000,"2010-09-17",0.061,0.061,0.05761,0.059,7092.61,427.76,NaN
1284854400000,"2010-09-18",0.0627,0.0627,0.06,0.061,12852.17,797.36,NaN
1284940800000,"2010-09-19",0.0621,0.0634,0.062,0.0627,14307.94,891.19,NaN
1285027200000,"2010-09-20",0.06265,0.0633,0.0623,0.0621,5735.95,359.82,NaN
1285113600000,"2010-09-21",0.0622,0.0624,0.06147,0.06265,11560.4,717.33,NaN
1285200000000,"2010-09-22",0.06231,0.063,0.0615,0.0622,15505.33,970.09,NaN
1285286400000,"2010-09-23",0.0622,0.0624,0.06209,0.06231,684.38,42.66,NaN
1285372800000,"2010-09-24",0.06202,0.0624,0.0617,0.0622,2152.5,133.05,NaN
1285459200000,"2010-09-25",0.062,0.06228,0.06186,0.06202,12058.13,748.2,NaN
1285545600000,"2010-09-26",0.0622,0.06228,0.0619,0.062,10752.25,668.53,NaN
1285632000000,"2010-09-27",0.0619,0.06271,0.0617,0.0622,7086.15,439.05,NaN
1285718400000,"2010-09-28",0.06191,0.062,0.0615,0.0619,23475.64,1450.79,NaN
1285804800000,"2010-09-29",0.0619,0.0619,0.06155,0.06191,7917.03,488.15,NaN
1285891200000,"2010-09-30",0.06197,0.062,0.06189,0.0619,1717.45,106.46,NaN
1285977600000,"2010-10-01",0.0614,0.06191,0.06125,0.06197,13059.74,802.52,NaN
1286064000000,"2010-10-02",0.06111,0.0614,0.061,0.0614,7172.63,439.88,NaN
1286150400000,"2010-10-03",0.0613,0.062,0.06081,0.06111,33995.37,2079.89,NaN
1286236800000,"2010-10-04",0.0614,0.06301,0.0609,0.0613,27526.61,1699.2,NaN
1286323200000,"2010-10-05",0.06281,0.0635,0.0612,0.0614,33433.3,2091.28,NaN
1286409600000,"2010-10-06",0.067,0.067,0.0628,0.06281,43692.98,2812.79,NaN
1286496000000,"2010-10-07",0.08685,0.088,0.01,0.067,139287.29,10784.23,NaN
1286582400000,"2010-10-08",0.0938,0.12,0.068,0.08685,187846.95,16104.87,NaN
1286668800000,"2010-10-09",0.0965,0.1301,0.07999,0.0938,50684.19,4889.35,NaN
1286755200000,"2010-10-10",0.095,0.103,0.091,0.0965,14092.91,1395.23,NaN
1286841600000,"2010-10-11",0.0949,0.099,0.082,0.095,25660.75,2396.82,NaN
1286928000000,"2010-10-12",0.105,0.105,0.092,0.0949,47557.27,4558.52,NaN
1287014400000,"2010-10-13",0.102,0.1045,0.065,0.105,37217.28,3701.65,NaN
1287100800000,"2010-10-14",0.105,0.119,0.092,0.102,24643.33,2554.91,NaN
1287187200000,"2010-10-15",0.101,0.103,0.1,0.105,6284.71,633.63,NaN
1287273600000,"2010-10-16",0.102,0.1045,0.1,0.101,18222.19,1857.8,NaN
1287360000000,"2010-10-17",0.1024,0.103,0.097,0.102,25665.09,2591.64,NaN
1287446400000,"2010-10-18",0.097,0.1019,0.097,0.1024,6235.1,623.34,NaN
1287532800000,"2010-10-19",0.099,0.103,0.094,0.097,31855,3221.08,NaN
1287619200000,"2010-10-20",0.107,0.109,0.097,0.099,44867,4616.85,NaN
1287705600000,"2010-10-21",0.1025,0.109,0.1015,0.107,34603.91,3665.43,NaN
1287792000000,"2010-10-22",0.1055,0.109,0.1045,0.1025,4423.47,481.52,NaN
1287878400000,"2010-10-23",0.115,0.19,0.108,0.1055,13800.23,1560.61,NaN
1287964800000,"2010-10-24",0.132,0.19,0.09009,0.115,30299.64,4450,NaN
1288051200000,"2010-10-25",0.1503,0.18,0.133,0.132,19219.13,2995.09,NaN
1288137600000,"2010-10-26",0.1877,0.19,0.151,0.1503,65605.87,11594.02,NaN
1288224000000,"2010-10-27",0.1731,0.191,0.1731,0.1877,21525.04,4009.67,NaN
