"time","timeDate","close","high","low","open","volumefrom","volumeto","volume"
1381104000000,"2013-10-06",6149,6149,6149,6149,0.0325,199.84,NaN
1381190400000,"2013-10-07",6149,6149,6149,6149,0,0,NaN
1381276800000,"2013-10-08",6149,6149,6149,6149,0,0,NaN
1381363200000,"2013-10-09",6149,6149,6149,6149,0,0,NaN
1381449600000,"2013-10-10",6149,6149,6149,6149,0,0,NaN
1381536000000,"2013-10-11",6149,6149,6149,6149,0,0,NaN
1381622400000,"2013-10-12",6149,6149,6149,6149,0,0,NaN
1381708800000,"2013-10-13",6149,6149,6149,6149,0,0,NaN
1381795200000,"2013-10-14",6149,6149,6149,6149,0,0,NaN
1381881600000,"2013-10-15",6149,6149,6149,6149,0,0,NaN
1381968000000,"2013-10-16",6149,6149,6149,6149,0,0,NaN
1382054400000,"2013-10-17",6500.6,6500.6,6149,6149,0.2307,1499.69,NaN
1382140800000,"2013-10-18",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382227200000,"2013-10-19",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382313600000,"2013-10-20",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382400000000,"2013-10-21",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382486400000,"2013-10-22",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382572800000,"2013-10-23",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382659200000,"2013-10-24",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382745600000,"2013-10-25",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382832000000,"2013-10-26",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1382918400000,"2013-10-27",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1383004800000,"2013-10-28",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1383091200000,"2013-10-29",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1383177600000,"2013-10-30",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1383264000000,"2013-10-31",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1383350400000,"2013-11-01",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1383436800000,"2013-11-02",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1383523200000,"2013-11-03",6500.6,6500.6,6500.6,6500.6,0,0,NaN
1383609600000,"2013-11-04",10778.85,10778.85,6500.6,6500.6,1,10778.85,NaN
1383696000000,"2013-11-05",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1383782400000,"2013-11-06",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1383868800000,"2013-11-07",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1383955200000,"2013-11-08",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384041600000,"2013-11-09",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384128000000,"2013-11-10",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384214400000,"2013-11-11",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384300800000,"2013-11-12",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384387200000,"2013-11-13",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384473600000,"2013-11-14",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384560000000,"2013-11-15",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384646400000,"2013-11-16",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384732800000,"2013-11-17",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384819200000,"2013-11-18",10778.85,10778.85,10778.85,10778.85,0,0,NaN
1384905600000,"2013-11-19",25569.39,25569.39,10778.85,10778.85,0.02,511.39,NaN
1384992000000,"2013-11-20",25569.39,25569.39,25569.39,25569.39,0,0,NaN
1385078400000,"2013-11-21",25569.39,25569.39,25569.39,25569.39,0,0,NaN
1385164800000,"2013-11-22",25569.39,25569.39,25569.39,25569.39,0,0,NaN
1385251200000,"2013-11-23",25569.39,25569.39,25569.39,25569.39,0,0,NaN
1385337600000,"2013-11-24",25569.39,25569.39,25569.39,25569.39,0,0,NaN
1385424000000,"2013-11-25",25569.39,25569.39,25569.39,25569.39,0,0,NaN
1385510400000,"2013-11-26",53041.06,53041.06,25569.39,25569.39,0.4868,25500.36,NaN
1385596800000,"2013-11-27",67358.87,67358.87,53041.06,53041.06,0.4349,29235.65,NaN
1385683200000,"2013-11-28",67358.87,67358.87,67358.87,67358.87,0,0,NaN
1385769600000,"2013-11-29",67358.87,67358.87,67358.87,67358.87,0,0,NaN
1385856000000,"2013-11-30",67358.87,67358.87,67358.87,67358.87,0,0,NaN
1385942400000,"2013-12-01",47764.24,67358.87,47764.24,67358.87,0.02,955.28,NaN
1386028800000,"2013-12-02",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386115200000,"2013-12-03",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386201600000,"2013-12-04",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386288000000,"2013-12-05",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386374400000,"2013-12-06",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386460800000,"2013-12-07",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386547200000,"2013-12-08",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386633600000,"2013-12-09",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386720000000,"2013-12-10",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386806400000,"2013-12-11",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386892800000,"2013-12-12",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1386979200000,"2013-12-13",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387065600000,"2013-12-14",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387152000000,"2013-12-15",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387238400000,"2013-12-16",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387324800000,"2013-12-17",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387411200000,"2013-12-18",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387497600000,"2013-12-19",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387584000000,"2013-12-20",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387670400000,"2013-12-21",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387756800000,"2013-12-22",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387843200000,"2013-12-23",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1387929600000,"2013-12-24",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1388016000000,"2013-12-25",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1388102400000,"2013-12-26",47764.24,47764.24,47764.24,47764.24,0,0,NaN
1388188800000,"2013-12-27",47764.24,47764.24,47764.24,47764.24,0,0,NaN
