"time","timeDate","close","high","low","open","volumefrom","volumeto","volume"
1535155200000,"2018-08-24",589998.35,589998.35,589998.35,589998.35,38.28,26538230.63,NaN
1535241600000,"2018-08-25",665005.04,732000.12,576998.8,589998.35,31.54,21397127.95,NaN
1535328000000,"2018-08-26",600080.01,710000,428008.9,680000.02,45.43,31015886.9,NaN
1535414400000,"2018-08-27",670000,704999.96,607998.83,631009.98,12.7,8665352,NaN
1535500800000,"2018-08-28",650899.42,714966.63,450000,664999.99,74.32,53618301.21,NaN
1535587200000,"2018-08-29",634999.93,789515.24,405238.93,650899.42,94.81,63951440.52,NaN
1535673600000,"2018-08-30",677203.06,789515.24,200000,650656.19,60.61,39687204.5,NaN
1535760000000,"2018-08-31",699100.01,719999.99,485000.55,655000.07,64.05,43676339.56,NaN
1535846400000,"2018-09-01",685000.01,702100.01,615034.17,662500,36.23,25229177.33,NaN
1535932800000,"2018-09-02",641000.65,849999.98,524787.46,685000.01,35.95,25241791.63,NaN
1536019200000,"2018-09-03",714999.99,714999.99,714999.99,714999.99,36.1,25823112.14,NaN
1536105600000,"2018-09-04",549994.5,549994.5,549994.5,549994.5,42.64,30310854.84,NaN
1536192000000,"2018-09-05",691002.01,840001.77,410666.37,715000.08,103.51,70817222.96,NaN
1536278400000,"2018-09-06",670060.03,730000.01,605208.52,650000.01,70.17,46557889.44,NaN
1536364800000,"2018-09-07",642099.92,708900,628100.79,670060.03,68.82,45536733.13,NaN
1536451200000,"2018-09-08",628998.07,684462.7,100000,642099.92,38.52,25326933.29,NaN
1536537600000,"2018-09-09",625000,698800,625000,628998.07,73.98,47120264.51,NaN
1536624000000,"2018-09-10",582998.59,625000,491569.23,625000,57.82,35213161.53,NaN
1536710400000,"2018-09-11",593500.04,593500.04,593500.04,593500.04,41.18,24883337.43,NaN
1536796800000,"2018-09-12",595000.1,595000.1,595000.1,595000.1,72.29,45158032.64,NaN
1536883200000,"2018-09-13",595000.1,595000.1,595000.1,595000.1,82.14,51278482.64,NaN
1536969600000,"2018-09-14",601999.69,692133.01,500000,595000.1,68.4,42766027.93,NaN
1537056000000,"2018-09-15",615999.98,665000.18,515999.87,612999.94,43.62,27274946.04,NaN
1537142400000,"2018-09-16",605998.17,615999.98,605998.17,615999.98,51.11,31739845.88,NaN
1537228800000,"2018-09-17",639991.1,2600005.67,549999.84,611703.55,121.25,79295588.57,NaN
1537315200000,"2018-09-18",649999.81,703997.3,619001.69,688650.5,65.8,45635918.79,NaN
1537401600000,"2018-09-19",687010.01,750018.75,639500.68,725999.98,54.5,39120941.4,NaN
1537488000000,"2018-09-20",660004.93,701301,400000,701301,40.65,29386353.22,NaN
1537574400000,"2018-09-21",710017.16,754999.61,625000,720614.91,66.63,49537835.89,NaN
1537660800000,"2018-09-22",709998.67,798815.92,612782.65,710017.16,41.72,31014283.68,NaN
1537747200000,"2018-09-23",689997.79,793994.51,630999.53,727100.74,47.64,35139579.78,NaN
1537833600000,"2018-09-24",671000.02,744011.08,563229.37,701000.47,40.71,29027822.09,NaN
1537920000000,"2018-09-25",717060.02,740000.01,635002.75,709999.97,71.32,51871412.99,NaN
1538006400000,"2018-09-26",720000.02,758999.98,670016.75,740000,54.45,39805479.97,NaN
1538092800000,"2018-09-27",726699.96,789000,648878.45,727999.99,67.93,50354557.58,NaN
1538179200000,"2018-09-28",700099.74,793757.47,622997.51,727999.14,71.08,52140596.9,NaN
1538265600000,"2018-09-29",758999,759988.14,610001.59,707999.17,42.94,31595036.56,NaN
1538352000000,"2018-09-30",718249.97,775000,590999.08,758999,78.79,58307122.45,NaN
1538438400000,"2018-10-01",720200.35,720200.35,720200.35,720200.35,39.34,29469363.53,NaN
1538524800000,"2018-10-02",723199.94,723199.94,723199.94,723199.94,42.13,32277512.02,NaN
