Fecha,DolarToday,Dolar
40352,9.92,9.92E-05
40354,8.05,8.05E-05
40355,8.05,8.05E-05
40356,7.91,7.91E-05
40357,7.91,7.91E-05
40358,7.92,7.92E-05
40359,7.97,7.97E-05
40360,7.97,7.97E-05
40361,7.98,7.98E-05
40363,7.85,7.85E-05
40365,7.84,7.84E-05
40366,8.27,8.27E-05
40367,8.22,8.22E-05
40368,8.17,8.17E-05
40370,8.17,8.17E-05
40371,8.16,8.16E-05
40372,8.13,8.13E-05
40373,8.15,8.15E-05
40374,8.14,8.14E-05
40375,8.17,8.17E-05
40376,8.17,8.17E-05
40377,8.17,8.17E-05
40378,8.14,8.14E-05
40379,8.14,8.14E-05
40380,8.12,8.12E-05
40381,8.21,8.21E-05
40382,8.23,8.23E-05
40383,8.22,8.22E-05
40384,8.49,8.49E-05
40385,8.45,8.45E-05
40386,8.42,8.42E-05
40387,8.39,8.39E-05
40388,8.37,8.37E-05
40389,8.38,8.38E-05
40390,8.38,8.38E-05
40391,8.38,8.38E-05
40392,8.33,8.33E-05
40393,8.34,8.34E-05
40394,8.34,8.34E-05
40395,8.27,8.27E-05
40396,8.27,8.27E-05
40397,8.27,8.27E-05
40398,8.27,8.27E-05
40399,8.27,8.27E-05
40400,8.23,8.23E-05
40401,8.21,8.21E-05
40402,8.24,8.24E-05
40403,8.34,8.34E-05
40404,8.34,8.34E-05
40405,8.26,8.26E-05
40406,8.26,8.26E-05
40407,8.23,8.23E-05
40408,8.21,8.21E-05
40409,7.9,7.9E-05
40410,7.9,7.9E-05
40412,7.91,7.91E-05
40413,7.86,7.86E-05
40414,8.27,8.27E-05
40415,8.27,8.27E-05
40416,8.27,8.27E-05
40419,8.27,8.27E-05
40421,8.31,8.31E-05
40423,8.23,8.23E-05
40424,8.23,8.23E-05
40426,8.22,8.22E-05
40427,8.22,8.22E-05
40428,8.22,8.22E-05
40429,8.2,8.2E-05
40430,8.19,8.19E-05
40431,8.19,8.19E-05
40433,8.19,8.19E-05
40434,8.15,8.15E-05
40435,8.13,8.13E-05
40436,8.21,8.21E-05
40437,8.23,8.23E-05
40440,8.21,8.21E-05
40441,8.18,8.18E-05
40442,8.17,8.17E-05
40443,8.2,8.2E-05
40444,8.2,8.2E-05
40447,8.22,8.22E-05
40448,8.19,8.19E-05
40449,8.2,8.2E-05
40450,8.18,8.18E-05
40451,8.18,8.18E-05
40452,8.18,8.18E-05
40454,8.17,8.17E-05
40455,8.19,8.19E-05
40456,8.19,8.19E-05
40457,8.16,8.16E-05
40458,8.16,8.16E-05
40461,8.12,8.12E-05
40462,8.12,8.12E-05
40463,8.12,8.12E-05
40464,8.15,8.15E-05
40468,7.87,7.87E-05
40469,7.53,7.53E-05
40470,7.57,7.57E-05
40471,7.55,7.55E-05
40472,7.56,7.56E-05
40475,7.92,7.92E-05
40476,7.96,7.96E-05
40477,7.99,7.99E-05
40478,8.02,8.02E-05
40479,7.99,7.99E-05
40482,7.99,7.99E-05
40483,7.99,7.99E-05
40485,7.89,7.89E-05
40486,7.81,7.81E-05
40489,7.84,7.84E-05
40490,7.82,7.82E-05
40491,7.88,7.88E-05
40493,7.81,7.81E-05
40496,8.04,8.04E-05
40497,8.05,8.05E-05
40498,8.05,8.05E-05
40499,8.04,8.04E-05
40500,8.07,8.07E-05
40503,8.18,8.18E-05
40504,8.49,8.49E-05
40505,8.5,8.5E-05
40506,8.43,8.43E-05
40507,8.48,8.48E-05
40510,8.56,8.56E-05
40511,8.52,8.52E-05
40512,8.63,8.63E-05
40513,8.59,8.59E-05
40514,8.56,8.56E-05
